url,query,annotation
data/quic360/train/images/29237818512_ebfa8f5d04_f.jpg,street,"This is a sidewalk near a large intersection in a commercial district of a city.  There are large trucks, a bus, and several cars waiting at a red traffic light."
data/quic360/train/images/29237818512_ebfa8f5d04_f.jpg,people,"A bald man in a t-shirt and glasses is standing next to a group of parked 'Bay Area Bike Share' bicycles.  Nearby, a man and woman in sunglasses are entering a building."
data/quic360/train/images/29237818512_ebfa8f5d04_f.jpg,building,This is a modern office tower about 20 stories tall.  It is located in the Bay Area of California. Bike share bicycles are parked in front of the building
data/quic360/train/images/6986732830_6bf3cb48fb_k.jpg,landscape,"This landscape is rough, dark, wobblty to walk on and unstable. It is made of nothing else but rocks of a dark black color."
data/quic360/train/images/6986732830_6bf3cb48fb_k.jpg,animals,Looking out of this rocky cave you can see a dog standing at the top of the sloped hill that goes down into the cave entrance.
data/quic360/train/images/6986732830_6bf3cb48fb_k.jpg,location,This is a cave made of dark small rocks. It looks out onto a mountain range in the distance but besides that view it is nothing but these rocks all around.
data/quic360/train/images/2935427621_6961001614_k.jpg,building,"Whatever this burned out husk of a building once was, it now serves as a home for those with nowhere else to go."
data/quic360/train/images/2935427621_6961001614_k.jpg,small objects,The only evidence of inhabitants is the cans and bottles they have scattered across the floor.
data/quic360/train/images/2935427621_6961001614_k.jpg,interior,"The interior floor of this space is covered with cardboard, its walls are shiny with graffiti."
data/quic360/train/images/32583151133_e69e224f1b_f.jpg,trees,Several bare trees with narrow trunks line a long metal fence off in the distance.
data/quic360/train/images/32583151133_e69e224f1b_f.jpg,arthitecture,There is an very old looking brick bridge with plants handing down off the side of it.
data/quic360/train/images/32583151133_e69e224f1b_f.jpg,people,There are two men on dirt bikes near the left side of a brick wall.
data/quic360/train/images/44749566374_72bc042dee_o.jpg,weather,"Although there are dark green fir trees, the rest of the nearby hills of the valley have a reddish, dull look to them that suggests missing or seasonally altered leaves. The plants in the garden also look more like they're late summer or early fall variety, which means the temperatures would be cooler. The sun is out but the sky is overcast with wispy cloud cover."
data/quic360/train/images/44749566374_72bc042dee_o.jpg,location,"This is a stone balcony that on what appears to be a castle, as based on the fact that it has a stone tower similar to those seen on European castles on the area below the balcony. That said, the lighter colored plaster used on the walls and tower above balcony could mean that it's southeastern rather than eastern or central Europe. The location is along a river in a valley that features a town along the bend of the river."
data/quic360/train/images/44749566374_72bc042dee_o.jpg,plants,The balcony also features a cordoned area with a small wooden fence. This area has a garden of various types of plants. Each plant has a sign next to it to describe the type.
data/quic360/train/images/46978075275_b4dd91788c_o.jpg,interior,"The image is captured from the interior and center of a Church that is carpeted in a rich red texture, lined with a series of pews that allow a walkway down the middle of the establishment. The front of the Church displays a short series of steps to a stage that leads to an altar and two podiums that are situated on each side of the stage."
data/quic360/train/images/46978075275_b4dd91788c_o.jpg,furniture,"There are a few basic, movable wooden chairs that are placed at the front of the vast lineup of wooden pews facing the stage at the front of the Church pictured."
data/quic360/train/images/46978075275_b4dd91788c_o.jpg,art,There are stained glass windows depicting scenes of religious significance that can be found at both the front and back of the Church along with on the side walls of the establishment.
data/quic360/train/images/33031681010_2a6a61b61c_f.jpg,sea,"Gray blue water in this body of water is almost certainly a bay or part of a sea, one clue is the very large cruise type ship with the word Sea on it. it's only likely to be used in a location with access to a sea to cruise on, not a small bay."
data/quic360/train/images/33031681010_2a6a61b61c_f.jpg,people,"A man jumps upward, we see his legs spread wide and his arms also splayed outward, he has long hair, wears a dark or black shirt and grayish pants."
data/quic360/train/images/33031681010_2a6a61b61c_f.jpg,furniture,"A set of very large benches with declined backs interestingly formed, are located beside the sea, so persons can sit here and watch the sea. They are made of unfinished boards."
data/quic360/train/images/4524785827_0404fbf25e_o.jpg,art,The around the places looks beautiful and bright people work very hard for the result.
data/quic360/train/images/4524785827_0404fbf25e_o.jpg,activity,The image looks like there is a activity like death tribute to the people who are died in some natural disasters.
data/quic360/train/images/4524785827_0404fbf25e_o.jpg,people,A group of people are gathered at here to show some respect to the people who are died.
data/quic360/train/images/17662849669_ad0e9f1662_h.jpg,lake,"Here's a nice lake that covers half the area, you can see how the lights are reflecting off it pretty nicely and it looks beautiful."
data/quic360/train/images/17662849669_ad0e9f1662_h.jpg,weather,"it's partially cloudy on a beautiful night, which makes setting the tone for this place all the more great. If you look up, you can see one single lonely star."
data/quic360/train/images/17662849669_ad0e9f1662_h.jpg,building,"If you're a fan of the color yellow, then you will appreciate all the lights that are on in every building. They tower over every tree you can see."
data/quic360/train/images/2694116542_c79da7b164_o.jpg,houses,"There is a two story home in a Spanish theme of architectural design, that includes clay tile roofing, white wash exterior walls, and ornate detailing finishes that makes it appear stylized."
data/quic360/train/images/2694116542_c79da7b164_o.jpg,garden,"The house is framed by a large yard that was once very nicely landscaped, but now has been allowed to become overgrown and sparse in spots from underwatering. There are large, very mature trees sporadically placed around the yard, as well as a row of hedges that line a pathway toward the house. There is patches of very dead weeds in the middle of the yard."
data/quic360/train/images/2694116542_c79da7b164_o.jpg,building,"In the distance beyond the yard, there is a grouping of buildings that look industrial in nature. They are likely sheds or farm related storage buildings. They are made of corrugated metal in a tan to white tone of color. They are not much taller than the trees surrounding them, so only the tops can really be seen."
data/quic360/train/images/4149210392_0ccf31013c_4k.jpg,interior,The image features the interior of a work shop where series of evenly cut stacks of wood can be seen lined against the walls with a large drill situated towards the center of the room and saw and other tools located on the behind it.
data/quic360/train/images/4149210392_0ccf31013c_4k.jpg,small objects,"Bags, hand tools, and related wood working hardware can be seen on both the floors and tables that are situated towards the back of the work shop pictured."
data/quic360/train/images/4149210392_0ccf31013c_4k.jpg,location,"The location featured in this image is clearly a workshop due to the lack of furniture and 'homey' space in general. Instead, this indoor warehouse is lined with plywood walls and stacks of cut wood. In addition, all else that can be found is hardware, saws, heavy machinery, and some personal items that someone would take with them to work."
data/quic360/train/images/47017364571_df2f09b3b5_o.jpg,cars,"On the inside of the fencing, there is a series of parallel cars that are parked in the one way street outside of the residential efficiencies that line down the sidewalks of the featured road."
